Date	Company Code	Company Name	Stock Price
1959-01-31	USYV5V2	Zscaler Inc.	107.64
1959-02-28	USYV5V2	Zscaler Inc.	107.93
1959-03-31	USYV5V2	Zscaler Inc.	101.82
1959-04-30	USYV5V2	Zscaler Inc.	103.52
1959-05-31	USYV5V2	Zscaler Inc.	102.36
1959-06-30	USYV5V2	Zscaler Inc.	104.11
1959-07-31	USYV5V2	Zscaler Inc.	106.27
1959-08-31	USYV5V2	Zscaler Inc.	107.45
1959-09-30	USYV5V2	Zscaler Inc.	106.3
1959-10-31	USYV5V2	Zscaler Inc.	104.9
1959-11-30	USYV5V2	Zscaler Inc.	107.35
1959-12-31	USYV5V2	Zscaler Inc.	105.87
1960-01-31	USYV5V2	Zscaler Inc.	103.71
1960-02-29	USYV5V2	Zscaler Inc.	100.42
1960-03-31	USYV5V2	Zscaler Inc.	98.99
1960-04-30	USYV5V2	Zscaler Inc.	93.99
1960-05-31	USYV5V2	Zscaler Inc.	91.55
1960-06-30	USYV5V2	Zscaler Inc.	91.71
1960-07-31	USYV5V2	Zscaler Inc.	93.65
1960-08-31	USYV5V2	Zscaler Inc.	92.17
1960-09-30	USYV5V2	Zscaler Inc.	92.39
1960-10-31	USYV5V2	Zscaler Inc.	96.74
1960-11-30	USYV5V2	Zscaler Inc.	95.0
1960-12-31	USYV5V2	Zscaler Inc.	94.14
1961-01-31	USYV5V2	Zscaler Inc.	90.5
1961-02-28	USYV5V2	Zscaler Inc.	97.1
1961-03-31	USYV5V2	Zscaler Inc.	98.64
1961-04-30	USYV5V2	Zscaler Inc.	96.82
1961-05-31	USYV5V2	Zscaler Inc.	93.68
1961-06-30	USYV5V2	Zscaler Inc.	96.55
1961-07-31	USYV5V2	Zscaler Inc.	94.38
1961-08-31	USYV5V2	Zscaler Inc.	95.06
1961-09-30	USYV5V2	Zscaler Inc.	92.68
1961-10-31	USYV5V2	Zscaler Inc.	92.21
1961-11-30	USYV5V2	Zscaler Inc.	92.32
1961-12-31	USYV5V2	Zscaler Inc.	89.81
1962-01-31	USYV5V2	Zscaler Inc.	92.98
1962-02-28	USYV5V2	Zscaler Inc.	90.18
1962-03-31	USYV5V2	Zscaler Inc.	89.09
1962-04-30	USYV5V2	Zscaler Inc.	90.04
1962-05-31	USYV5V2	Zscaler Inc.	81.66
1962-06-30	USYV5V2	Zscaler Inc.	76.47
1962-07-31	USYV5V2	Zscaler Inc.	73.37
1962-08-31	USYV5V2	Zscaler Inc.	71.12
1962-09-30	USYV5V2	Zscaler Inc.	75.96
1962-10-31	USYV5V2	Zscaler Inc.	80.02
1962-11-30	USYV5V2	Zscaler Inc.	73.96
1962-12-31	USYV5V2	Zscaler Inc.	81.26
1963-01-31	USYV5V2	Zscaler Inc.	82.78
1963-02-28	USYV5V2	Zscaler Inc.	82.59
1963-03-31	USYV5V2	Zscaler Inc.	83.04
1963-04-30	USYV5V2	Zscaler Inc.	77.8
