Date	Company Code	Company Name	Stock Price
1959-01-31	USOXGVL	eBay Inc.	87.25
1959-02-28	USOXGVL	eBay Inc.	91.69
1959-03-31	USOXGVL	eBay Inc.	89.1
1959-04-30	USOXGVL	eBay Inc.	88.98
1959-05-31	USOXGVL	eBay Inc.	86.02
1959-06-30	USOXGVL	eBay Inc.	80.12
1959-07-31	USOXGVL	eBay Inc.	86.66
1959-08-31	USOXGVL	eBay Inc.	91.24
1959-09-30	USOXGVL	eBay Inc.	93.66
1959-10-31	USOXGVL	eBay Inc.	88.21
1959-11-30	USOXGVL	eBay Inc.	88.22
1959-12-31	USOXGVL	eBay Inc.	88.07
1960-01-31	USOXGVL	eBay Inc.	92.56
1960-02-29	USOXGVL	eBay Inc.	88.56
1960-03-31	USOXGVL	eBay Inc.	89.4
1960-04-30	USOXGVL	eBay Inc.	91.67
1960-05-31	USOXGVL	eBay Inc.	95.85
1960-06-30	USOXGVL	eBay Inc.	94.86
1960-07-31	USOXGVL	eBay Inc.	87.96
1960-08-31	USOXGVL	eBay Inc.	86.88
1960-09-30	USOXGVL	eBay Inc.	86.98
1960-10-31	USOXGVL	eBay Inc.	84.85
1960-11-30	USOXGVL	eBay Inc.	84.07
1960-12-31	USOXGVL	eBay Inc.	86.15
1961-01-31	USOXGVL	eBay Inc.	84.35
1961-02-28	USOXGVL	eBay Inc.	80.07
1961-03-31	USOXGVL	eBay Inc.	76.37
1961-04-30	USOXGVL	eBay Inc.	75.22
1961-05-31	USOXGVL	eBay Inc.	77.28
1961-06-30	USOXGVL	eBay Inc.	72.86
1961-07-31	USOXGVL	eBay Inc.	74.12
1961-08-31	USOXGVL	eBay Inc.	72.92
1961-09-30	USOXGVL	eBay Inc.	73.17
1961-10-31	USOXGVL	eBay Inc.	74.82
1961-11-30	USOXGVL	eBay Inc.	72.99
1961-12-31	USOXGVL	eBay Inc.	71.42
1962-01-31	USOXGVL	eBay Inc.	76.04
1962-02-28	USOXGVL	eBay Inc.	79.22
1962-03-31	USOXGVL	eBay Inc.	83.14
1962-04-30	USOXGVL	eBay Inc.	89.35
1962-05-31	USOXGVL	eBay Inc.	88.92
1962-06-30	USOXGVL	eBay Inc.	90.4
1962-07-31	USOXGVL	eBay Inc.	93.46
1962-08-31	USOXGVL	eBay Inc.	91.95
1962-09-30	USOXGVL	eBay Inc.	99.04
1962-10-31	USOXGVL	eBay Inc.	101.25
1962-11-30	USOXGVL	eBay Inc.	105.7
1962-12-31	USOXGVL	eBay Inc.	101.33
1963-01-31	USOXGVL	eBay Inc.	98.22
1963-02-28	USOXGVL	eBay Inc.	91.05
1963-03-31	USOXGVL	eBay Inc.	83.48
1963-04-30	USOXGVL	eBay Inc.	84.15
1963-05-31	USOXGVL	eBay Inc.	88.91
1963-06-30	USOXGVL	eBay Inc.	88.61
1963-07-31	USOXGVL	eBay Inc.	86.53
1963-08-31	USOXGVL	eBay Inc.	88.24
1963-09-30	USOXGVL	eBay Inc.	87.16
1963-10-31	USOXGVL	eBay Inc.	84.58
1963-11-30	USOXGVL	eBay Inc.	85.87
1963-12-31	USOXGVL	eBay Inc.	88.54
1964-01-31	USOXGVL	eBay Inc.	93.25
1964-02-29	USOXGVL	eBay Inc.	92.28
1964-03-31	USOXGVL	eBay Inc.	91.58
1964-04-30	USOXGVL	eBay Inc.	93.1
1964-05-31	USOXGVL	eBay Inc.	93.61
1964-06-30	USOXGVL	eBay Inc.	94.58
1964-07-31	USOXGVL	eBay Inc.	99.33
1964-08-31	USOXGVL	eBay Inc.	92.76
1964-09-30	USOXGVL	eBay Inc.	96.09
1964-10-31	USOXGVL	eBay Inc.	95.64
1964-11-30	USOXGVL	eBay Inc.	94.6
1964-12-31	USOXGVL	eBay Inc.	91.2
1965-01-31	USOXGVL	eBay Inc.	97.6
1965-02-28	USOXGVL	eBay Inc.	95.22
1965-03-31	USOXGVL	eBay Inc.	99.43
1965-04-30	USOXGVL	eBay Inc.	95.64
1965-05-31	USOXGVL	eBay Inc.	90.55
1965-06-30	USOXGVL	eBay Inc.	90.04
1965-07-31	USOXGVL	eBay Inc.	92.46
1965-08-31	USOXGVL	eBay Inc.	90.23
1965-09-30	USOXGVL	eBay Inc.	84.79
1965-10-31	USOXGVL	eBay Inc.	85.12
